store_number,sale_dollars,percentage
2178,9.74,0.015897841190686282
2465,41.55,0.06781881945308162
2512,217.8,0.35549792724142426
2512,488.52,0.7973730368043185
2515,630.24,1.0286915227944682
2515,270.0,0.4406999098034185
2522,324.96,0.5304068247767365
2538,807.84,1.3185741301318281
2544,75.54,0.12329804143166752
2562,1563.84,2.5525338775813995
2571,6.75,0.011017497745085461
2571,1985.4,3.2406133367544707
2576,33.0,0.053863322309306697
2587,64.32,0.10498451184650323
2591,23.04,0.03760639230322504
2593,99.72,0.16276516668739588
2593,637.74,1.0409331869556744
2601,21.78,0.03554979272414242
2616,282.24,0.4606783057145068
2619,3372.3,5.504341873444696
2633,1881.0,3.070209371630482
2633,487.44,0.7956102371651048
2633,1755.6,2.8655287468551163
2636,70.56,0.1151695764286267
2641,17.82,0.02908619404702562
2643,7.0,0.011425553217125664
2647,486.0,0.7932598376461533
2665,1518.72,2.478888025987584
2670,504.0,0.8226398316330479
2843,42.0,0.06855331930275398
3162,45.72,0.07462518472671219
3385,691.2,1.1281917690967513
3447,522.72,0.8531950253794182
3447,5397.6,8.810080863536784
3447,720.72,1.1763749592352584
3494,5199.36,8.486509196427784
3524,3913.92,6.388385892510354
3549,237.24,0.38722832074727037
3705,37.5,0.061208320806030336
3772,70.56,0.1151695764286267
3772,116.64,0.19038236103507677
3869,6.75,0.011017497745085461
3963,33.24,0.0542550555624653
3993,47.25,0.07712248421559822
3993,33.24,0.0542550555624653
4057,413.28,0.6745646619390991
4136,1296.0,2.1153595670564087
4152,13.26,0.02164326223701233
4153,1349.4,2.202520215884196
4156,105.04,0.1714485871324114
4158,32.52,0.05307985580298952
4167,50.36,0.08219869428777835
4291,71.25,0.11629580953145766
4312,174.24,0.2843983417931394
4559,324.0,0.5288398917641022
4829,653.4,1.0664937817242726
4829,217.8,0.35549792724142426
4829,1709.4,2.790120095622087
4867,68.18,0.11128488833480397
4898,206.64,0.33728233096954957
4962,18.9,0.03084899368623929
4971,2295.0,3.7459492333290565
5003,17.98,0.02934734954913135
5063,63.36,0.10341757883386886
5102,6750.0,11.01749774508546
5102,4870.8,7.9502263728536695
5113,206.64,0.33728233096954957
5146,1349.28,2.2023243492576166
5166,206.64,0.33728233096954957
5204,81.6,0.13318930607392201
5244,75.12,0.12261250823863998
5416,112.47,0.1835759957614462
5446,21.0,0.03427665965137699
9001,3712.5,6.059623759797004
